Date,Open,High,Low,Close,Adj Close,Volume
15-janv.-19,83.300003,83.629997,80.660004,83.150002,73.553307,437800
16-janv.-19,83.510002,85.430000,83.410004,84.440002,74.694412,530600
17-janv.-19,83.919998,88.000000,83.919998,86.709999,76.702400,717200
18-janv.-19,87.220001,90.150002,86.940002,88.320000,78.126595,541800
22-janv.-19,88.150002,88.150002,84.790001,85.449997,75.587837,577400
23-janv.-19,85.570000,86.019997,84.050003,84.750000,74.968605,381100
24-janv.-19,84.870003,87.529999,84.430000,86.470001,76.490120,606000
25-janv.-19,87.589996,88.800003,86.500000,87.110001,77.056252,658800
28-janv.-19,86.459999,87.059998,84.320000,84.800003,75.012848,1205100
29-janv.-19,82.750000,86.379997,80.239998,83.110001,73.517914,2120800
30-janv.-19,82.900002,85.400002,81.290001,84.580002,74.818245,740500
31-janv.-19,84.730003,85.220001,83.099998,83.879997,74.199036,1265500
02-janv.-19,84.029999,87.269997,83.809998,86.519997,76.534348,635100
02-avr.-19,86.099998,87.570000,85.430000,87.449997,77.357002,394200
02-mai-19,87.410004,88.199997,85.699997,87.190002,77.127014,577200
02-juin-19,86.980003,87.800003,86.339996,87.070000,77.020874,375200
02-juil.-19,86.519997,86.779999,83.459999,83.870003,74.190201,701100
02-août-19,83.599998,84.500000,82.360001,82.940002,73.367546,534600
02-nov.-19,83.000000,83.599998,82.029999,82.900002,73.332138,3825400
02-déc.-19,83.820000,86.080002,83.190002,85.099998,75.278236,899400
13-févr.-19,85.889999,86.459999,84.699997,84.980003,75.172081,517700
14-févr.-19,84.540001,86.059998,83.529999,85.419998,75.561287,619700
15-févr.-19,85.970001,87.599998,85.629997,86.779999,76.764320,535000
19-févr.-19,86.449997,87.260002,85.489998,86.790001,76.773178,460400
20-févr.-19,86.589996,87.349998,85.870003,86.870003,76.843941,360900
21-févr.-19,86.470001,87.269997,85.699997,85.949997,76.030121,375600
22-févr.-19,86.529999,87.180000,86.000000,87.139999,77.082787,287200
25-févr.-19,88.000000,90.489998,87.449997,89.470001,79.143867,904900
26-févr.-19,89.099998,89.699997,87.279999,87.500000,77.401237,515900
27-févr.-19,87.029999,88.029999,86.480003,87.029999,76.985481,443800
28-févr.-19,86.199997,86.510002,85.059998,85.230003,75.925423,412900
03-janv.-19,86.449997,87.959999,86.260002,87.419998,77.876305,471600
03-avr.-19,88.330002,92.370003,88.120003,90.839996,80.922951,1530800
03-mai-19,90.669998,91.360001,87.379997,89.160004,79.426353,941700
03-juin-19,89.070000,89.629997,88.309998,88.320000,78.678062,737000
03-juil.-19,88.180000,88.180000,85.389999,85.680000,76.326279,538600
03-août-19,84.820000,85.349998,84.040001,85.120003,75.827400,445500
03-nov.-19,85.550003,86.050003,84.279999,85.959999,76.575706,556900
03-déc.-19,86.269997,88.540001,85.540001,88.440002,78.784966,604900
13-mars-19,88.690002,89.309998,86.730003,87.000000,77.502167,492700
14-mars-19,86.730003,86.739998,85.160004,85.279999,75.969925,555700
15-mars-19,85.610001,87.230003,85.389999,86.519997,77.074570,734000
18-mars-19,86.540001,87.650002,85.849998,87.519997,77.965401,448100
19-mars-19,89.059998,89.250000,84.379997,84.639999,75.399811,660000
